"Reading Date"," 1 am kWh Consumption"," 2 am kWh Consumption"," 3 am kWh Consumption"," 4 am kWh Consumption"," 5 am kWh Consumption"," 6 am kWh Consumption"," 7 am kWh Consumption"," 8 am kWh Consumption"," 9 am kWh Consumption"," 10 am kWh Consumption"," 11 am kWh Consumption"," 12 pm kWh Consumption"," 1 pm kWh Consumption"," 2 pm kWh Consumption"," 3 pm kWh Consumption"," 4 pm kWh Consumption"," 5 pm kWh Consumption"," 6 pm kWh Consumption"," 7 pm kWh Consumption"," 8 pm kWh Consumption"," 9 pm kWh Consumption"," 10 pm kWh Consumption"," 11 pm kWh Consumption"," 12 am kWh Consumption"," Total On-Peak kWh Consumption"," Total Mid-Peak kWh Consumption"," * Total Off-Peak kWh Consumption"
"2024-03-21","1.42","3.24","2.00","3.76","0.64","1.75","0.57","1.51","0.66","1.64","1.64","0.36","0.87","0.57","1.25","0.43","0.81","1.98","2.93","0.86","0.78","0.99","0.39","0.51",6.55,4.338,13.709
"2024-03-22","2.21","3.37","1.60","2.79","1.80","0.99","1.22","2.39","1.54","2.33","0.82","0.93","1.51","0.44","0.76","1.01","0.64","1.92","3.89","1.19","0.85","2.13","1.49","0.85",8.183,4.447,14.996
"2024-03-23","0.85","0.82","1.10","0.72","0.60","0.69","1.00","2.11","1.01","3.18","1.24","0.84","0.86","0.90","1.29","1.02","0.62","2.29","1.69","1.50","1.29","1.15","1.03","0.75",0.0,0.0,18.799
"2024-03-24","0.43","0.31","0.70","0.62","1.65","0.51","1.53","1.88","2.57","2.44","5.70","0.83","0.61","0.86","0.45","1.94","0.59","1.37","1.57","1.12","0.68","0.61","0.40","1.15",0.0,0.0,23.495
"2024-03-25","1.01","0.40","0.83","0.63","0.70","0.37","0.89","1.57","0.63","2.07","0.84","0.80","0.90","2.64","1.03","1.12","0.83","1.49","1.86","1.11","0.70","1.17","0.51","1.12",7.719,5.787,7.453
"2024-03-26","0.68","0.55","0.81","1.20","0.45","2.11","0.74","1.26","1.28","1.34","0.52","0.90","1.26","0.78","1.50","0.64","0.69","0.72","2.99","0.76","0.80","1.07","0.45","1.07",6.707,4.563,9.061
"2024-03-27","0.87","0.38","0.26","1.07","0.72","0.42","1.24","1.14","0.74","2.11","1.61","1.24","0.60","1.17","0.68","1.27","1.66","0.59","0.93","0.45","0.99","0.98","0.95","0.73",6.526,4.052,7.416
"2024-03-28","0.64","0.49","0.37","0.72","0.99","0.70","0.81","1.23","2.13","1.99","0.98","0.73","1.05","1.29","1.12","0.76","0.47","1.21","2.49","1.66","0.71","0.71","0.94","0.56",6.787,5.108,6.803
"2024-03-29","0.57","0.25","0.84","0.56","0.28","0.47","0.53","1.57","0.75","0.55","0.80","2.57","3.34","2.51","1.64","1.40","0.90","0.68","3.02","1.29","1.46","1.05","1.34","0.51",0.0,0.0,23.588
"2024-03-30","0.87","1.01","1.25","0.91","0.86","0.88","1.10","0.93","0.84","1.70","1.05","0.51","0.54","0.88","1.17","1.41","1.56","0.80","1.68","0.48","0.81","1.47","0.91","1.63",0.0,0.0,21.192
"2024-03-31","0.66","0.49","0.30","0.65","0.87","1.50","0.29","0.66","0.64","1.24","1.31","0.58","0.36","0.74","0.87","1.89","0.73","0.56","2.36","1.09","0.82","1.01","1.17","0.59",0.0,0.0,18.736
"2024-04-01","0.35","0.78","0.69","0.92","0.67","0.72","0.75","2.69","1.04","0.85","2.12","1.60","2.16","1.04","3.19","1.46","0.76","1.15","2.32","1.80","0.55","2.06","3.43","0.65",8.091,8.029,9.888
"2024-04-02","0.49","0.38","0.89","0.58","0.35","0.90","0.76","1.55","1.29","1.60","1.33","0.60","1.26","0.82","0.59","0.84","1.55","0.69","3.28","1.32","0.74","1.14","1.11","0.95",7.448,4.367,7.422
"2024-04-03","0.29","0.55","0.57","0.91","0.72","2.29","0.95","1.52","0.90","0.73","1.46","0.84","1.43","0.97","1.11","1.13","1.05","1.38","2.04","3.04","0.67","1.86","0.66","0.74",6.404,4.465,10.233
"2024-04-04","0.87","1.27","2.53","1.43","1.48","1.74","1.10","0.94","2.19","1.73","3.20","0.92","1.47","1.36","2.76","0.74","1.07","2.34","2.65","0.45","1.22","1.70","0.85","1.09",8.623,5.568,13.709
"2024-04-05","0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",0.0,0.0,0.518
"2024-04-06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",0.0,0.0,0.0
"*Note: Ontario's electricity system operates in Eastern Standard Time. Therefore, during Daylight Saving Time, the daily consumption values shown here may differ slightly from the billed amounts.","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","","",""
